Time,chaos,system_usage,user_usage,total_cpu_usage,load_1min,load_5min,load_15min,CurrEstab,TCP_tw,Tcp_InSegs,Tcp_OutSegs,Tcp_RetransSegs,total_memory,memory_used,memory_free,total-cache-buf-free,vda_io_util_percent,is_anomaly,cluster,mahalanobis_distance
2025/6/7 13:40,0,1,3,5,0.08,0.29,0.37,232,174,279,295.0,0.0,14.7,3.38,11.3,18.3,1.81,,,
2025/6/7 13:40,0,1,4,7,0.3,0.32,0.38,232,175,288,313.0,0.0333,14.7,3.39,11.3,18.3,6.16,,,
2025/6/7 13:40,0,1,4,7,0.4,0.34,0.38,236,172,433,529.0,0.433,14.7,3.41,11.3,18.3,6.16,,,
2025/6/7 13:41,0,1,3,5,0.4,0.34,0.38,236,172,433,529.0,0.433,14.7,3.41,11.3,18.3,2.57,,,
2025/6/7 13:41,1,1,3,4,0.3,0.32,0.38,235,162,311,343.0,1.7,14.7,3.41,11.3,18.3,2.32,,,
2025/6/7 13:41,1,1,3,4,0.26,0.31,0.37,235,155,303,324.0,1.8,14.7,3.42,11.3,18.3,2.32,,,
2025/6/7 13:42,1,1,3,5,0.26,0.31,0.37,235,155,303,324.0,1.8,14.7,3.42,11.3,18.3,2.83,,,
2025/6/7 13:42,1,1,2,5,0.24,0.29,0.36,232,162,306,337.0,2.07,14.7,3.44,11.3,18.3,2.31,,,
2025/6/7 13:42,0,1,2,5,0.2,0.28,0.35,232,164,289,309.0,1.1,14.7,3.44,11.3,18.3,2.31,,,
2025/6/7 13:43,0,1,3,6,0.2,0.28,0.35,232,164,289,309.0,1.1,14.7,3.44,11.3,18.3,3.65,,,
2025/6/7 13:43,1,1,3,5,0.4,0.32,0.36,232,159,328,363.0,1.67,14.7,3.41,11.3,18.3,2.23,,,
2025/6/7 13:43,1,1,3,5,0.24,0.29,0.35,233,161,311,332.0,1.8,14.7,3.43,11.3,18.3,2.23,,,
2025/6/7 13:44,1,1,3,4,0.24,0.29,0.35,233,161,311,332.0,1.8,14.7,3.43,11.3,18.3,2.15,,,
2025/6/7 13:44,1,1,3,5,0.15,0.26,0.34,232,166,292,324.0,1.8,14.7,3.43,11.3,18.3,2.27,,,
2025/6/7 13:44,1,1,3,5,0.32,0.28,0.35,233,162,292,312.0,1.8,14.7,3.42,11.3,18.3,2.27,,,
2025/6/7 13:45,1,1,3,7,0.32,0.28,0.35,233,162,292,312.0,1.8,14.7,3.42,11.3,18.3,2.49,,,
2025/6/7 13:45,1,1,3,6,0.33,0.29,0.35,232,159,296,328.0,1.5,14.7,3.39,11.3,18.3,2.13,,,
2025/6/7 13:45,1,1,3,6,0.2,0.26,0.33,233,158,311,335.0,1.67,14.7,3.4,11.3,18.3,2.13,,,
2025/6/7 13:46,1,1,3,5,0.2,0.26,0.33,233,158,311,335.0,1.67,14.7,3.4,11.3,18.3,2.53,,,
2025/6/7 13:46,1,1,3,5,0.12,0.23,0.32,232,152,285,317.0,1.7,14.7,3.41,11.3,18.3,2.25,,,
2025/6/7 13:46,1,1,3,5,0.14,0.22,0.32,232,143,299,321.0,1.93,14.7,3.41,11.3,18.3,2.25,,,
2025/6/7 13:47,1,1,3,4,0.14,0.22,0.32,232,143,299,321.0,1.93,14.7,3.41,11.3,18.3,2.12,,,
